Ocupação;Quantitativo;Porcentagem;Ano
Trabalhador de Artes Gráficas;1;0,0002;2010
Prefeito;1;0,0002;2010
Militar Reformado;56;0,0093;2010
Contador;54;0,009;2010
Servidor Público Civil Aposentado;27;0,0045;2010
Taxista;10;0,0017;2010
Atleta Profissional e Técnico em Desportos;8;0,0013;2010
Desenhista;2;0,0003;2010
Operador de Equipamento de Rádio, Televisão, Som e Cinema;2;0,0003;2010
Pescador;6;0,001;2010
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;1;0,0002;2010
Trabalhador de Fabricação de Produtos de Borracha e Plástico;1;0,0002;2010
Médico;183;0,0304;2010
Economista;38;0,0063;2010
Dona de Casa;113;0,0188;2010
Manicure e Maquilador;4;0,0007;2010
Agente Administrativo;44;0,0073;2010
Policial Militar;118;0,0196;2010
Assistente Social;18;0,003;2010
Gerente;26;0,0043;2010
Analista de Sistemas;6;0,001;2010
Operador de Aparelhos de Produção Industrial;8;0,0013;2010
Gari ou Lixeiro;1;0,0002;2010
Fiscal de Transporte Coletivo;1;0,0002;2010
Músico;17;0,0028;2010
Torneiro Mecânico;2;0,0003;2010
Pedagogo;36;0,006;2010
Secretário e Datilógrafo;32;0,0053;2010
Fisioterapeuta e Terapeuta Ocupacional;6;0,001;2010
Fiscal;13;0,0022;2010
Cobrador de Transporte Coletivo;2;0,0003;2010
Cozinheiro;10;0,0017;2010
Recepcionista;13;0,0022;2010
Taquígrafo e Estenógrafo;1;0,0002;2010
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;1;0,0002;2010
Ferroviário;1;0,0002;2010
Veterinário;16;0,0027;2010
Servidor Público Municipal;121;0,0201;2010
Engenheiro;91;0,0151;2010
Administrador;151;0,0251;2010
Bombeiro Militar;21;0,0035;2010
Eletricista e Assemelhados;14;0,0023;2010
Operador de Computador;1;0,0002;2010
Agrônomo;6;0,001;2010
Geólogo;3;0,0005;2010
Escritor e Crítico;7;0,0012;2010
Motorista de Veículos de Transporte de Carga;5;0,0008;2010
Porteiro de Edifício, Ascensorista, Garagista e Zelador;4;0,0007;2010
Trabalhador de Minas e Pedreiras, Sondador e Assemelhados;1;0,0002;2010
Advogado;404;0,0672;2010
Professor de Ensino Médio;142;0,0236;2010
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;1;0,0002;2010
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;33;0,0055;2010
Membro do Ministério Público;3;0,0005;2010
Geógrafo;2;0,0003;2010
Técnico de Laboratório e Raios X;4;0,0007;2010
Digitador;4;0,0007;2010
Arqueólogo;1;0,0002;2010
Atendente de Lanchonete e Restaurante;1;0,0002;2010
Mecânico de Manutenção;12;0,002;2010
